match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating
171,home,Pieros Sotiriou,F,79,1,1,1,0,22,0,15,0,0,0,0,0,21,10,4,1,0,won,2-0,7
171,home,Marinos Tzionis,F,80,2,2,1,0,25,1,20,0,1,0,0,0,11,8,2,1,0,won,2-0,7.9
171,home,Evangelos Kyriakou,D,11,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,won,2-0,6.5
171,home,Andreas Avraam,M,10,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,won,2-0,6.3
171,home,Ioannis Pittas,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,Dimitris Christofi,F,11,0,0,0,0,4,0,4,0,0,0,0,0,4,0,1,0,0,won,2-0,6.3
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-0,0
171,away,Matvei Igonen,G,90,0,0,0,0,21,0,20,1,0,0,0,2,0,0,0,0,0,lost,2-0,6.2
171,away,Marco Lukka,D,55,0,0,0,0,31,0,24,0,1,0,0,0,5,1,1,0,0,lost,2-0,6.3
171,away,Joonas Tamm,D,90,0,0,0,0,64,1,52,0,1,0,1,0,10,3,0,0,1,lost,2-0,6.7
171,away,Ragnar Klavan,D,90,1,0,0,0,70,0,60,0,1,0,2,0,7,4,1,1,0,lost,2-0,6.7
171,away,Karol Mets,D,90,0,0,0,0,76,2,59,0,0,0,2,0,6,4,0,0,1,lost,2-0,6.9
171,away,Vlasiy Sinyavskiy,D,45,1,0,0,0,18,1,14,0,2,0,0,0,5,2,1,0,0,lost,2-0,6.5
171,away,Konstantin Vassiljev,M,90,1,0,0,0,64,0,48,0,0,0,1,0,6,0,2,0,0,lost,2-0,6.2
171,away,Vladislav Kreida,M,90,0,0,0,0,88,0,79,0,5,0,0,0,11,6,1,1,0,lost,2-0,6.5
171,away,Henrik Ojamaa,M,90,0,0,0,0,35,1,24,0,0,0,0,0,8,2,2,1,0,lost,2-0,6.3
171,away,Henri Anier,F,45,1,0,0,0,13,0,8,0,0,0,0,0,7,2,1,1,0,lost,2-0,6.7
171,away,Rauno Sappinen,F,89,1,0,0,0,23,1,20,0,0,0,0,0,9,2,0,0,0,lost,2-0,6.3
171,away,Sander Puri,M,45,0,0,0,0,31,0,23,0,1,0,0,0,7,5,0,0,0,lost,2-0,6.6
171,away,Robert Kirss,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
171,away,Erik Sorga,F,35,1,1,0,0,6,0,5,0,0,0,0,0,1,0,0,0,0,lost,2-0,6.3
171,away,Sergei Zenjov,F,45,1,0,0,0,15,0,12,0,1,0,0,0,9,2,1,0,0,lost,2-0,6.2
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
