match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating,id,team,season
1,home,J. Rodon,D,90,0,0,0,0,26,0,24,0,1,1,2,0,6,3,0,0,0,draw,1-1,6.6,19321.0,Wales,2020
1,home,B. Davies,D,90,1,0,0,0,31,0,26,0,1,2,5,0,12,7,0,0,0,draw,1-1,7.2,164.0,Wales,2020
1,home,J. Allen,M,90,0,0,0,0,31,0,28,0,0,0,1,0,6,1,0,0,0,draw,1-1,6.5,19502.0,Wales,2020
1,home,G. Bale,M,90,0,0,0,0,25,0,17,0,0,0,0,0,10,2,0,0,0,draw,1-1,6.2,758.0,Wales,2020
1,home,J. Morrell,M,90,0,0,0,1,29,3,25,0,0,0,1,0,5,1,1,0,0,draw,1-1,6.9,19271.0,Wales,2020
1,home,A. Ramsey,M,89,0,0,0,0,36,1,32,0,1,0,1,0,10,3,1,0,0,draw,1-1,6.7,1459.0,Wales,2020
1,home,D. James,M,75,0,0,0,0,13,2,11,0,0,0,0,0,7,5,3,2,0,draw,1-1,7,19329.0,Wales,2020
1,home,K. Moore,F,90,2,2,1,0,18,0,11,0,0,0,0,0,7,4,0,0,1,draw,1-1,7.2,19804.0,Wales,2020
1,home,E. Ampadu,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,2279.0,Wales,2020
1,home,D. Brooks,M,15,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,draw,1-1,6.7,18870.0,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
